"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","获取最近学习动态","","0","0","1","0","0"
"","获取⼩节详情","","0","0","1","0","0"
"","登录模块","登录成功","0","0","1","0","0"
"","获取菜单","","0","0","1","0","0"
"","获取课程详情","","0","0","1","0","0"
"","获取课程⻆⾊","","0","0","1","0","0"
"","登录模块","用户名或密码错误","0","0","1","0","0"
"","提交答案","","0","0","1","0","0"
"","获取课程列表","","0","0","1","0","0"
"","记录时间","","0","0","1","0","0"
"","获取⼤纲","","0","0","1","0","0"
"","运⾏","","0","0","1","0","0"
"","获取最近学习⼩节","","0","0","1","0","0"
"","获取章节","","0","0","1","0","0"
"","登录模块","用户不存在","0","0","1","0","0"
"","登录模块","用户名不能为空","0","0","1","0","0"
